# R (kpc)   V_obs (km/s)    Err_V_obs (km/s)
# Data from Eilers et al. 2019, Table 1 (subset for illustration)
# Note: Their R_GC is Galactocentric distance. Using a few points.
0	0	        0
4.99    220.1           3.2
5.51    223.7           2.9
6.01    226.5           2.7
6.52    228.5           2.6
7.01    230.0           2.4
7.51    230.9           2.3
8.00    231.5           2.2 # Near Solar radius
8.50    231.8           2.1
9.00    231.9           2.1
9.99    231.8           2.0
11.01   231.3           2.0
12.00   230.7           2.0
13.00   230.0           2.0
14.01   229.3           2.0
15.00   228.6           2.0
16.00   228.0           2.1
17.00   227.5           2.1
18.01   227.2           2.2
19.00   227.0           2.3
20.00   226.9           2.4
21.00   226.8           2.5
22.00   226.7           2.6
23.00   226.5           2.8
24.00   226.2           3.0
24.99   225.8           3.2
